Max_Phase,Polar Surface Area,HBA,HBD,#RO5 Violations,QED Weighted,CX LogP,CX LogD,Heavy Atoms
0,105.82,7,2,2,0.16,4.51,4.1,40
0,90.06,5,1,1,0.31,5.89,5.89,30
0,90.39,6,1,0,0.52,3.85,3.85,29
0,40.62,2,0,0,0.8,3.45,3.45,24
0,23.47,2,1,0,0.79,1.81,1.14,15
0,84.42,7,1,0,0.67,4.22,3.44,29
0,75.71,4,1,2,0.21,8.62,8.62,51
0,105.2,5,5,0,0.27,-2.56,-9.87,18
0,77.1,5,1,0,0.86,2.04,2.04,28
0,75.27,3,2,0,0.65,2.66,2.66,22
0,42.35,3,1,1,0.62,6.16,6.15,26
0,44.81,4,1,0,0.59,5.26,4.32,31
0,75.21,3,2,0,0.63,-0.37,-3.59,12
0,79.51,3,3,0,0.3,3.23,3.23,22
0,27.05,3,0,0,0.69,4.66,4.66,22
0,72.47,4,1,0,0.6,3.27,3.27,26
0,70.15,6,2,1,0.49,4.26,3.56,31
0,79.83,5,0,0,0.61,1.51,1.51,21
0,55.84,4,0,0,0.59,4.17,4.17,27
0,80.57,4,2,0,0.71,3.42,3.42,26
0,93.13,4,3,0,0.35,3.64,2.39,30
0,21.06,3,0,0,0.85,3.37,2.62,21
0,173.98,10,6,1,0.14,5.12,4.95,36
0,51.54,4,0,0,0.8,1.22,1.22,20
0,117.86,8,1,0,0.7,-1.65,-1.65,28
0,47.91,1,3,1,0.49,6.22,4.78,24
0,66.38,6,1,0,0.82,4.54,4.54,27
0,69.63,6,0,0,0.69,2.13,2.13,18
0,68.01,5,1,0,0.7,4.03,0.73,24
0,50.7,4,1,0,0.59,5.12,5.12,25
0,79.42,6,1,0,0.5,4.48,4.48,31
0,103.44,8,2,0,0.46,3.84,3.84,33
0,116.23,9,1,0,0.63,2.94,2.93,31
0,75.99,5,2,1,0.31,7.36,7.35,34
0,89.95,4,2,0,0.61,-0.26,-0.26,32
0,73.47,4,3,0,0.55,3.13,1.42,32
0,65.13,5,0,0,0.32,1.94,1.94,22
0,113.92,8,3,0,0.54,-1.95,-1.95,21
0,49.41,3,1,0,0.86,1.38,1.38,19
0,73.72,4,3,1,0.36,5.2,3.72,35
0,107.31,7,2,0,0.44,3.58,3.58,33
0,78.94,4,3,1,0.37,5.48,5.48,31
0,102.06,6,2,0,0.43,3.78,3.78,30
0,62.22,6,0,0,0.69,2.33,1.89,28
0,55.76,3,1,1,0.22,7.14,4.35,30
0,65.42,3,2,1,0.57,5.78,5.78,33
0,122.88,6,4,1,0.26,3.37,3.37,50
0,53.93,4,2,0,0.81,2.29,2.12,24
0,72.7,6,1,0,0.51,3.99,3.98,29
0,116.76,6,4,1,0.25,4.45,4.44,38
0,58.04,4,2,0,0.57,3.7,3.52,24
0,66.81,4,1,2,0.32,6.15,6.08,35
0,26.3,2,0,0,0.58,2.65,2.65,13
0,133.55,11,2,2,0.26,4.39,4.35,45
0,42.23,3,1,0,0.91,4.5,4.5,23
0,94.99,4,1,2,0.16,6.62,3.16,43
0,49.85,3,0,0,0.85,1.48,1.48,23
0,70.39,5,2,0,0.42,2.84,1.55,28
0,239.19,15,5,3,0.02,11.56,6.82,65
0,81.67,4,3,0,0.58,1.24,1.23,24
0,33.02,3,0,0,0.56,3.3,3.3,14
0,72.62,8,0,0,0.73,1.04,1.04,23
0,69.81,4,3,0,0.51,4.13,2.01,31
0,23.55,2,0,0,0.87,3.85,3.73,24
0,84.82,5,1,0,0.92,2.88,2.88,20
0,104.55,6,3,0,0.7,-0.35,-0.35,20
0,85.15,7,1,0,0.58,4.75,4.74,33
0,83.99,6,0,1,0.4,4.03,2.84,34
0,42.85,3,0,0,0.53,3.22,3.22,20
0,108.41,7,2,2,0.32,4.07,3.78,43
0,86.2,7,3,0,0.75,3.14,2.73,23
0,32.34,2,1,0,0.71,4.25,2.69,24
0,32.26,4,0,0,0.82,3.37,2.93,19
0,93.61,4,3,0,0.61,2.29,1.02,18
0,82.63,7,0,1,0.27,4.36,4.26,42
0,16.96,2,1,1,0.48,5.94,4.55,27
0,51.22,4,1,0,0.83,2.77,2.77,20
0,62.74,5,0,0,0.48,4.93,4.93,30
0,89.27,6,1,0,0.49,3.26,3.23,31
0,36.95,3,2,1,0.37,5.78,3.51,30
0,98.36,7,2,2,0.13,8.06,8.04,39
0,75.71,4,1,0,0.75,1.74,1.74,27
0,117.96,9,2,1,0.44,4.17,3.79,37
0,49.41,2,1,0,0.92,3.75,3.75,24
0,81.06,5,1,0,0.49,3.81,3.81,30
0,78.87,5,2,0,0.5,4.12,2.12,35
0,85.19,6,1,0,0.23,4.93,4.93,32
0,165.68,9,3,0,0.43,1.34,1.26,30
0,93.2,6,1,2,0.33,5.88,5.74,35
0,136.99,9,3,1,0.51,1.89,1.89,35
0,72.68,5,1,0,0.79,3.29,3.29,24
0,103.03,9,1,0,0.81,1.98,1.98,23
0,77.77,5,1,0,0.91,3.37,3.37,22
0,42.16,4,0,0,0.82,4.63,4.24,25
